article_id,expr_type,value,char_offset
979.txt,deictic,last Friday,114
980.txt,deictic,Next month,522
980.txt,deictic,Wednesday,244
981.txt,deictic,year,1661
981.txt,deictic,spring,211
981.txt,deictic,Friday,1152
981.txt,deictic,Friday,1403
982.txt,deictic,Year,183
982.txt,deictic,Year,605
983.txt,deictic,year,1315
984.txt,deictic,next week,1319
984.txt,deictic,Today,2249
984.txt,deictic,Monday,1861
985.txt,deictic,year,752
985.txt,deictic,previous month,1013
985.txt,deictic,year,1078
985.txt,deictic,year,2484
985.txt,deictic,year,3279
985.txt,deictic,Monday,2706
986.txt,deictic,year,414
987.txt,simple,"30 July, 2002",3268
987.txt,deictic,year,2961
987.txt,deictic,Thursday,1499
988.txt,deictic,Thursday,1320
989.txt,deictic,year,510
989.txt,deictic,year,810
989.txt,deictic,year,870
989.txt,deictic,autumn,70
989.txt,deictic,spring,429
989.txt,deictic,autumn,898
990.txt,deictic,year,685
990.txt,deictic,spring,1594
992.txt,deictic,last week,1633
992.txt,deictic,spring,2139
992.txt,deictic,Thursday,523
992.txt,deictic,Thursday,1980
993.txt,deictic,Day,1197
994.txt,deictic,year,319
994.txt,deictic,year,441
994.txt,deictic,Sunday,1418
996.txt,deictic,Year,132
996.txt,deictic,Year,486
996.txt,deictic,year,1917
997.txt,deictic,last year,1264
997.txt,deictic,year,2078
997.txt,deictic,Monday,943
997.txt,deictic,Wednesday,1303
998.txt,simple,"20 May, 2000",834
998.txt,deictic,year,116
998.txt,deictic,year,383
998.txt,deictic,year,599
998.txt,deictic,year,906
999.txt,deictic,last week,296
1000.txt,deictic,year,2864
1000.txt,deictic,Wednesday,672
1001.txt,deictic,last week,1034
1002.txt,deictic,week,588
1002.txt,deictic,week,1645
1002.txt,deictic,week,1927
1002.txt,deictic,week,2434
1002.txt,deictic,spring,663
1002.txt,deictic,Monday,2376
1002.txt,deictic,Sunday,827
1003.txt,deictic,Friday,1867
1004.txt,deictic,last year,952
1005.txt,deictic,Next week,1172
1005.txt,deictic,Fall,767
1005.txt,deictic,next Sunday,109
1006.txt,deictic,week,1131
1006.txt,deictic,week,2289
1006.txt,deictic,Monday,2789
1007.txt,deictic,year,573
1007.txt,deictic,week,1592
1007.txt,deictic,Wednesday,431
1008.txt,deictic,Today,2528
1008.txt,deictic,fall,1975
1010.txt,deictic,week,277
1010.txt,deictic,week,1316
1011.txt,deictic,year,1598
1011.txt,deictic,year,1663
1011.txt,deictic,year,3428
1011.txt,deictic,Friday,279
1013.txt,deictic,last year,2056
1013.txt,deictic,spring,2008
1014.txt,deictic,year,2391
1014.txt,deictic,year,2609
1014.txt,deictic,Monday,589
1015.txt,deictic,next week,980
1015.txt,deictic,next Monday,497
1015.txt,deictic,Monday,1608
1016.txt,deictic,year,820
1017.txt,deictic,Today,551
1017.txt,deictic,year,916
1018.txt,deictic,year,1572
1019.txt,deictic,week,305
1019.txt,deictic,Tuesday,982
1019.txt,deictic,Tuesday,1916
1019.txt,deictic,Sunday,867
1020.txt,deictic,year,634
1020.txt,deictic,year,917
1020.txt,deictic,Year,1103
1020.txt,deictic,Sunday,234
1020.txt,deictic,Sunday,245
1022.txt,deictic,year,1362
1022.txt,deictic,year,1773
1022.txt,deictic,year,2252
1022.txt,deictic,Thursday,2192
1023.txt,deictic,week,3202
1023.txt,deictic,week,3446
1023.txt,deictic,year,3458
1023.txt,deictic,spring,265
1024.txt,simple,11 September 2001,477
1024.txt,deictic,year,1548
1024.txt,deictic,year,1647
1024.txt,deictic,year,2870
1024.txt,deictic,Wednesday,78
1025.txt,deictic,year,1212
1026.txt,deictic,Monday,522
1026.txt,deictic,Tuesday,2991
1027.txt,deictic,Today,1281
1028.txt,deictic,year,320
1028.txt,deictic,Last week,2808
1028.txt,deictic,Monday,596
1029.txt,deictic,year,193
1029.txt,deictic,week,2192
1029.txt,deictic,Wednesday,866
1030.txt,deictic,year,1149
1030.txt,deictic,week,1569
1030.txt,deictic,Monday,1247
1031.txt,deictic,last year,1829
1031.txt,deictic,last September,263
1031.txt,deictic,Tuesday,1079
1031.txt,deictic,Wednesday,3865
1032.txt,deictic,year,2673
1032.txt,deictic,year,2747
1032.txt,deictic,Tuesday,948
1033.txt,deictic,year,2706
1033.txt,deictic,year,2742
1033.txt,deictic,Saturday,903
1033.txt,deictic,Saturday,2077
1034.txt,deictic,Today,968
1034.txt,deictic,week,1261
1034.txt,deictic,next Monday,753
1035.txt,deictic,year,1223
1035.txt,deictic,year,2684
1035.txt,deictic,Thursday,777
1036.txt,deictic,week,141
1036.txt,deictic,Today,618
1036.txt,deictic,year,3145
1036.txt,deictic,year,3567
1036.txt,deictic,week,3905
1036.txt,deictic,spring,383
1036.txt,deictic,Monday,1194
1036.txt,deictic,Wednesday,703
1037.txt,deictic,week,265
1038.txt,deictic,Day,2508
1039.txt,deictic,Year,230
1039.txt,deictic,year,686
1039.txt,deictic,Day,832
1039.txt,deictic,last week,929
1039.txt,deictic,today,1798
1040.txt,deictic,week,242
1040.txt,deictic,year,876
1040.txt,deictic,week,1357
1040.txt,deictic,week,1752
1040.txt,deictic,year,2205
1041.txt,deictic,week,2663
1041.txt,deictic,Monday,1010
1042.txt,deictic,winter,1572
1042.txt,deictic,Sunday,1210
1043.txt,deictic,week,265
1044.txt,deictic,year,373
1045.txt,deictic,year,972
1045.txt,deictic,Wednesday,566
1045.txt,deictic,Sunday,327
1045.txt,deictic,Sunday,813
1045.txt,deictic,Sunday,1570
1046.txt,deictic,next month,1473
1047.txt,deictic,year,345
1047.txt,deictic,year,565
1047.txt,deictic,week,1137
1047.txt,deictic,last year,2710
1047.txt,deictic,last year,2927
1047.txt,deictic,year,3131
1047.txt,deictic,Monday,3087
1048.txt,simple,20 February 1951,813
1048.txt,deictic,year,366
1048.txt,deictic,year,1616
1048.txt,deictic,week,2468
1048.txt,deictic,year,2623
1048.txt,deictic,week,3026
1048.txt,deictic,year,3043
1048.txt,deictic,year,3209
1048.txt,deictic,last June,297
1048.txt,deictic,spring,5059
1049.txt,deictic,week,127
1049.txt,deictic,year,348
1049.txt,deictic,week,1144
1049.txt,deictic,year,1639
1049.txt,deictic,year,2230
1049.txt,deictic,week,2344
1049.txt,deictic,year,2654
1049.txt,deictic,year,2780
1050.txt,deictic,Today,328
1050.txt,deictic,Today,641
1050.txt,deictic,Today,1158
1050.txt,deictic,last year,2644
1051.txt,simple,7 March 2003,2112
1051.txt,simple,17 March 2003,2314
1051.txt,simple,March 17 2003,3214
1051.txt,deictic,week,2002
